id,screenscraper_id,img,year,system,developer,genre,time_to_beat,title_usa,title_eu,title_jap,title_world,title_other
523,3780,https://screenscraper.fr/image.php?gameid=3780&media=ss&maxwidth=640&maxheight=480&region=wor,2001,GBA,Konami,Metroidvania,9,Castlevania: Circle of the Moon,Castlevania,Akumajou Dracula: Circle of the Moon,,
524,4657,https://screenscraper.fr/image.php?gameid=4657&media=ss&maxwidth=640&maxheight=480&region=wor,2001,GBA,Conspiracy Entertainment,Racing RPG,,Gadget Racers,Penny Racers,Choro Q Advance,,
525,60,https://screenscraper.fr/image.php?gameid=60&media=ss&maxwidth=640&maxheight=480&region=wor,1992,Genesis/MD,Konami,Beat 'em Up,1,Teenage Mutant Ninja Turtles: The Hyperstone Heist,Teenage Mutant Hero Turtles: The Hyperstone Heist,Teenage Mutant Ninja Turtles: Return of the Shredder,,
526,13149,https://screenscraper.fr/image.php?gameid=13149&media=ss&maxwidth=640&maxheight=480&region=wor,1996,Saturn,Sega AM1,Beat 'em Up,1,Die Hard Arcade,Dynamite Deka,,,
527,37439,https://screenscraper.fr/image.php?gameid=37439&media=ss&maxwidth=640&maxheight=480&region=wor,2003,Atomiswave,International Games System,Beat 'em Up,1,,,Knights of Valour: The Seven Spirits,,
528,27865,https://screenscraper.fr/image.php?gameid=27865&media=ss&maxwidth=640&maxheight=480&region=wor,2009,"DS, PSP, Android",Rockstar Leeds,Action-Adventure,10,,,,Grand Theft Auto: Chinatown Wars,
529,287,https://screenscraper.fr/image.php?gameid=287&media=ss&maxwidth=640&maxheight=480&region=wor,1993,"Genesis, SNES",Bullfrog Productions,Strategy,12,,,,Syndicate,
530,86795,https://screenscraper.fr/image.php?gameid=86795&media=ss&maxwidth=640&maxheight=480&region=wor,2007,DS,Level-5,Puzzle Adventure,12,Professor Layton and the Curious Village,,Layton Kyouju to Fushigi na Machi - Friendly Ban,,
531,13495,https://screenscraper.fr/image.php?gameid=13495&media=ss&maxwidth=640&maxheight=480&region=wor,1999,"PC, Dreamcast",Quantic Dream,Adventure,14,Omikron: The Nomad Soul,The Nomad Soul,,,
532,13078,https://screenscraper.fr/image.php?gameid=13078&media=ss&maxwidth=640&maxheight=480&region=wor,1998,Saturn,Team Andromeda,RPG,15,Panzer Dragoon Saga,,Azel: Panzer Dragoon RPG,,
533,47051,https://screenscraper.fr/image.php?gameid=47051&media=ss&maxwidth=640&maxheight=480&region=wor,1999,"NGPC, Switch",SNK,Card Game,15,SNK Versus Capcom: Card Fighter's Clash,,SNK vs. Capcom Gekitotsu Card Fighters,,
534,38874,https://screenscraper.fr/image.php?gameid=38874&media=ss&maxwidth=640&maxheight=480&region=wor,1996,Super Famicom,Dynamite,RPG,19,,,Hourai Gakuen no Bouken! Tenkousei Scramble,,The Adventures of Hourai High
535,42982,https://screenscraper.fr/image.php?gameid=42982&media=ss&maxwidth=640&maxheight=480&region=wor,1991,"Arcade, SNES",Capcom,Fighting,2,Street Fighter 2: The World Warrior,,,,
536,5802,https://screenscraper.fr/image.php?gameid=5802&media=ss&maxwidth=640&maxheight=480&region=wor,1990,"Famicom, DS",Intelligent Systems,TRPG,27,Fire Emblem: Shadow Dragon and the Blade of Light,,Fire Emblem: Ankoku Ryu To Hikari No Tsurugi,,
537,1259,https://screenscraper.fr/image.php?gameid=1259&media=ss&maxwidth=640&maxheight=480&region=wor,1987,NES,Nintendo,Sports,3,Punch-Out!!,,,,
538,103427,https://screenscraper.fr/image.php?gameid=103427&media=ss&maxwidth=640&maxheight=480&region=wor,2002,PS1,Tecmo,Sports,3,Super Shot Soccer,,Bakuretsu Soccer,,
539,3935,https://screenscraper.fr/image.php?gameid=3935&media=ss&maxwidth=640&maxheight=480&region=wor,2003,GBA,"Treasure, Hitmaker",Beat 'em Up,3,Astro Boy: Omega Factor,,"Astro Boy: Tetsuwan Atom, Atom Heart no Himitsu",,
540,54,https://screenscraper.fr/image.php?gameid=54&media=ss&maxwidth=640&maxheight=480&region=wor,1990,"Genesis/MD, PS2",Sega,RPG,30,Phantasy Star II,,Phantasy Star II: Kaerazaru Toki no Owari ni,,
541,13615,https://screenscraper.fr/image.php?gameid=13615&media=ss&maxwidth=640&maxheight=480&region=wor,1999,"DC, NGPC",SNK,RPG,32,Evolution: The World of Sacred Device,,Shinki Sekai Evolution,,
542,2976,https://screenscraper.fr/image.php?gameid=2976&media=ss&maxwidth=640&maxheight=480&region=wor,1989,GB,Nintendo,Puzzle,4,,,,Tetris,
543,794,https://screenscraper.fr/image.php?gameid=794&media=ss&maxwidth=640&maxheight=480&region=wor,1991,Master System,Sega,ARPG,5,Golden Axe Warrior,,,,
544,392,https://screenscraper.fr/image.php?gameid=392&media=ss&maxwidth=640&maxheight=480&region=wor,1995,Genesis/MD,Sega,Action,5,,,,The Ooze,
545,19482,https://screenscraper.fr/image.php?gameid=19482&media=ss&maxwidth=640&maxheight=480&region=wor,1999,"PS1, PC",EA Redwood Shores,Third-Person Shooter,5,Future Cop: L.A.P.D.,,Soukou Kidoutai L.A.P.D.,,
546,24,https://screenscraper.fr/image.php?gameid=24&media=ss&maxwidth=640&maxheight=480&region=wor,1994,Genesis/MD,Ancient,ARPG,6,Beyond Oasis,The Story of Thor,,,
547,27863,https://screenscraper.fr/image.php?gameid=27863&media=ss&maxwidth=640&maxheight=480&region=wor,2008,"PSP, PS2",Ready At Dawn,Action-Adventure,6,God of War: Chains of Olympus,,God of War: Rakujitsu no Hisoukyoku,,
548,11183,https://screenscraper.fr/image.php?gameid=11183&media=ss&maxwidth=640&maxheight=480&region=wor,2004,"PC, DS, Android",Studio Pixel,Metroidvania,8,Cave Story,,Doukutsu Monogatari,,
549,83245,https://screenscraper.fr/image.php?gameid=83245&media=ss&maxwidth=640&maxheight=480&region=wor,2006,GBA,"Skip Ltd, Nintendo",Music Rhythm,,Bit Generations: Soundvoyager,,,,
550,1325,https://screenscraper.fr/image.php?gameid=1325&media=ss&maxwidth=640&maxheight=480&region=wor,1988,"Arcade, NES",Data East,Beat 'em Up,1,,,,RoboCop,
551,1398,https://screenscraper.fr/image.php?gameid=1398&media=ss&maxwidth=640&maxheight=480&region=wor,1990,NES,Human Entertainment,Action-Platformer,1,Kabuki: Quantum Fighter,,Jigoku Gokuraku Maru,,
552,78,https://screenscraper.fr/image.php?gameid=78&media=ss&maxwidth=640&maxheight=480&region=wor,1990,"Arcade, Genesis",Capcom,Action-Platformer,1,Strider,,Strider Hiryuu,,
553,136591,https://screenscraper.fr/image.php?gameid=136591&media=ss&maxwidth=640&maxheight=480&region=wor,2017,SNES,Nintendo,Action,1,Star Fox 2,,,,
554,47034,https://screenscraper.fr/image.php?gameid=47034&media=ss&maxwidth=640&maxheight=480&region=wor,1999,NGPC,Sacnoth,TRPG,10,,,,Faselei!,
555,13493,https://screenscraper.fr/image.php?gameid=13493&media=ss&maxwidth=640&maxheight=480&region=wor,1998,"Android, PS2",Valve,FPS,12,Half-Life,,,,
556,22956,https://screenscraper.fr/image.php?gameid=22956&media=ss&maxwidth=640&maxheight=480&region=wor,2002,"PS2, PSP",From Software,Action,16,,,,Armored Core 3,
557,2142,https://screenscraper.fr/image.php?gameid=2142&media=ss&maxwidth=640&maxheight=480&region=wor,1995,SNES,Squaresoft,ARPG,17,Secret of Evermore,,,,
558,213556,https://screenscraper.fr/image.php?gameid=213556&media=ss&maxwidth=640&maxheight=480&region=us,1999,PC,Funcom,Point 'n Click,18,The Longest Journey,,,,
559,1399,https://screenscraper.fr/image.php?gameid=1399&media=ss&maxwidth=640&maxheight=480&region=wor,1990,NES,KID,Action-Platformer,2,Low G Man: The Low Gravity Man,,,,
560,1759,https://screenscraper.fr/image.php?gameid=1759&media=ss&maxwidth=640&maxheight=480&region=wor,1991,NES,Natsume,Action,2,Shatterhand,,Tokkyuu Shirei Solbrain,,
561,227,https://screenscraper.fr/image.php?gameid=227&media=ss&maxwidth=640&maxheight=480&region=wor,1993,Genesis/MD,GAU Entertainment,Run 'n Gun,2,Ranger X,,Ex-Ranza,,
562,20518,https://screenscraper.fr/image.php?gameid=20518&media=ss&maxwidth=640&maxheight=480&region=wor,1999,PS1,Bit Town,Combat Flight Sim,2,Vanark,,Astro Trooper Vanark,,
563,13577,https://screenscraper.fr/image.php?gameid=13577&media=ss&maxwidth=640&maxheight=480&region=wor,2001,"DC, PS2, Xbox 360",United Game Artists,Rail Shooter,2,,Rez,,,
564,13517,https://screenscraper.fr/image.php?gameid=13517&media=ss&maxwidth=640&maxheight=480&region=wor,2000,"DC, GC, Xbox, PC",Sonic Team,ARPG,25,,,Phantasy Star Online,,
565,19433,https://screenscraper.fr/image.php?gameid=19433&media=ss&maxwidth=640&maxheight=480&region=wor,1999,PS1,Namco,Combat Flight Sim,4,,,,Ace Combat 3: Electrosphere,
566,22193,https://screenscraper.fr/image.php?gameid=22193&media=ss&maxwidth=640&maxheight=480&region=wor,2001,"PS2, PS3, Xbox 360",Konami,Action,5,Zone of the Enders,,Zone of the Enders: Z.O.E.,,
567,3769,https://screenscraper.fr/image.php?gameid=3769&media=ss&maxwidth=640&maxheight=480&region=wor,2004,GBA,Nintendo R&D1,Metroidvania,5,,,,Metroid: Zero Mission,
568,33286,https://screenscraper.fr/image.php?gameid=33286&media=ss&maxwidth=640&maxheight=480&region=wor,1994,"DOS, PC, Amiga",Virgin Interactive Entertainment,Point 'n Click,6,,,,Beneath a Steel Sky,
569,13681,https://screenscraper.fr/image.php?gameid=13681&media=ss&maxwidth=640&maxheight=480&region=wor,1999,"N64, DC",Treasure,Multidirectional Shooter,6,Bangai-O,,Bakuretsu Muteki Bangaioh,,
570,,https://cdn.discordapp.com/attachments/744921130011197521/1144299638120255600/83iiak4.png,2016,"PC, Android, Portmaster",Milton Guasti,Metroidvania,6,Another Metroid 2 Remake,,,,
571,189003,https://screenscraper.fr/image.php?gameid=189003&media=ss&maxwidth=640&maxheight=480&region=us,1997,"Jaguar, Jaguar CD",Eclipse Design Software,FPS,,,,,Iron Soldier 2,
572,23231,https://screenscraper.fr/image.php?gameid=23231&media=ss&maxwidth=640&maxheight=480&region=wor,2003,PS2,Zono,RTS,,Alien Versus Predator: Extinction,,,,
573,82124,https://screenscraper.fr/image.php?gameid=82124&media=ss&maxwidth=640&maxheight=480&region=wor,2000,GBC,ImagineEngine,Platformer,0.5,Disney's Doug: Doug's Big Game,,,,
574,187243,https://screenscraper.fr/image.php?gameid=187243&media=ss&maxwidth=640&maxheight=480&region=wor,1989,DOS,Ocean,Action,1,,,,Batman: The Movie,
575,19558,https://screenscraper.fr/image.php?gameid=19558&media=ss&maxwidth=640&maxheight=480&region=wor,1995,"PS1, Saturn, Arcade","Capcom, Acclaim",Fighting,1,Street Fighter: The Movie,,Street Fighter: Real Battle on Film,,
576,4729,https://screenscraper.fr/image.php?gameid=4729&media=ss&maxwidth=640&maxheight=480&region=wor,1995,Virtual Boy,Ocean,Shoot 'em Up,1,,,,Waterworld,
577,37392,https://screenscraper.fr/image.php?gameid=37392&media=ss&maxwidth=640&maxheight=480&region=wor,1996,"Arcade, PS3",Capcom,Beat 'em Up,1,,,,Dungeons & Dragons: Shadow Over Mystara,
578,4818,https://screenscraper.fr/image.php?gameid=4818&media=ss&maxwidth=640&maxheight=480&region=wor,2003,"GC, PS2, Xbox",Radical Entertainment,Racing,10,The Simpsons: Hit & Run,,,,
579,5149,https://screenscraper.fr/image.php?gameid=5149&media=ss&maxwidth=640&maxheight=480&region=wor,2003,"GC, PS2, Xbox, Android",Heavy Iron Studios,Platform,10,Spongebob Squarepants: Battle for Bikini Bottom,,,,
580,22239,https://screenscraper.fr/image.php?gameid=22239&media=ss&maxwidth=640&maxheight=480&region=wor,2005,PS2,Volition Studios,3PS,10,The Punisher,,,,
