Rank,Username,Points Earned,Patreon Points,Points Spent,Total Current Points,,
70,ChrisHepburn(Nerdbility)#2159,5.5,0,0,5.5,,
70,][ntamin22#9617,5.5,0,0,5.5,,
71,MaxPower78#2468,5,0,0,5,,
71,DMDF#0001,5,0,0,5,,
71,Cognative 🧙#0098,5,28,0,33,,
71,Wilk#7158,5,0,0,5,,
72,Zerthyam#4119,4.5,0,0,4.5,,
72,denbowski#5628,4.5,0,0,4.5,,
73,TheRetroTechDad#0938,4,24,0,28,,
73,Sanelessone#3318,4,0,0,4,,
73,pzonee#3534,4,0,0,4,,
73,krvkz#5134,4,0,0,4,,
73,Kamogli#7245,4,0,0,4,,
73,Draga#1564,4,0,0,4,,
73,Oudeis#0467,4,0,0,4,,
73,newbietoobychickenbooby,4,0,0,4,,
74,wesaj#4923,3.5,0,0,3.5,,
74,Tricto#3916,3.5,0,0,3.5,,
74,CPU_Master#2512,3.5,0,0,3.5,,
75,Zeey#5614,3,0,0,3,,
75,Zach944#1520,3,0,0,3,,
75,random gamer#9938,3,0,0,3,,
75,nihilspire,3,0,0,3,,
75,mrpuff#2269,3,0,0,3,,
75,L33tMasta#5517,3,0,0,3,,
75,kenedy#6925,3,0,0,3,,
75,feralghoul,3,4,0,7,,
75,emvee888,3,0,0,3,,
75,derpologist#1250,3,0,0,3,,
75,choosh#0347,3,18,0,21,,
75,Residual Heat#7116,3,0,0,3,,
75,rdrc,3,0,0,3,,
76,tony#5959,2.5,0,0,2.5,,
76,Shedimus#1986,2.5,0,0,2.5,,
76,seedyz,2.5,0,0,2.5,,
76,mrCunningham#8438,2.5,0,0,2.5,,
76,lopsided bunny#1398,2.5,0,0,2.5,,
76,gfcpinto#2672,2.5,0,0,2.5,,
76,Crid#4192,2.5,0,0,2.5,,
76,Akios#1304,2.5,0,0,2.5,,
77,townimbecile#6173,2,0,0,2,,
77,sqpete#4413,2,0,0,2,,
77,sizzleweet,2,0,0,2,,
77,Rei#1647,2,0,0,2,,
77,PleaseSandwich#3304,2,0,0,2,,
77,oimaya#5824,2,0,0,2,,
77,NAPALM#3137,2,0,0,2,,
77,mattbeau80#9563,2,0,0,2,,
77,Ladut#4608,2,0,0,2,,
77,ferry#4337,2,0,0,2,,
77,Clem Dustpaw#3798,2,0,0,2,,
77,BrokenOpus#1593,2,0,0,2,,
77,ben.y#9751,2,0,0,2,,
77,alpha7bravo#2190,2,0,0,2,,
78,ZCGonzo#7092,1.5,0,0,1.5,,
78,tigno#3123,1.5,0,0,1.5,,
78,SteezeTrain#1337,1.5,0,0,1.5,,
78,sorcerer#6783,1.5,0,0,1.5,,
78,pr0tag0nist#3451,1.5,0,0,1.5,,
78,PocketEleri#9363,1.5,0,0,1.5,,
78,kalamer#5399,1.5,0,0,1.5,,
78,JN2002#1299,1.5,9,0,10.5,,
78,gutsu7,1.5,0,0,1.5,,
78,Feron#4252,1.5,0,0,1.5,,
78,ban675,1.5,1,0,2.5,,
78,anderbubble#8484,1.5,0,0,1.5,,
78,bdub7653,1.5,0,0,1.5,,
79,zer0_impedance,1,0,0,1,,
79,Yaba Love#5598,1,0,0,1,,
79,wesmo#9970,1,1,0,2,,
79,tigno#3123,1,0,0,1,,
79,T1DSoldier#2179,1,0,0,1,,
79,t0nic#0046,1,0,0,1,,
79,sonyWWDD30#6009,1,0,0,1,,
79,sandpaperback#0825,1,0,0,1,,
79,Rik_Sixx#2786,1,0,0,1,,
79,Rei#1647,1,0,0,1,,
79,PeterPan#9771,1,0,0,1,,
79,pedin09#5968,1,0,0,1,,
79,OGMageFire#4396,1,15,0,16,,
79,Odoyle#5456,1,0,0,1,,
79,N0sSyndrome#4052,1,0,0,1,,
79,mschimen#5230,1,12,0,13,,
79,losd#7920,1,0,0,1,,
79,KnuKLz#0210,1,0,0,1,,
79,Jake#2672,1,0,0,1,,
79,iamtheredspy,1,0,0,1,,
79,humanbydefinition,1,0,0,1,,
79,GoldenAgeNerd#8670,1,0,0,1,,
79,DeeeConrad#2344,1,0,0,1,,
79,dbunke#3115,1,17,0,18,,
79,Clayby#1900,1,0,0,1,,
79,chokolatstarmi#1915,1,0,0,1,,
79,BMXW#7527,1,0,0,1,,
79,axelrider#1116,1,0,0,1,,
79,AmbyrMars#9715,1,0,0,1,,
79,AliceVie#3332,1,0,0,1,,
79,1MayoRice1#6500,1,0,0,1,,
79,szymonsays,1,0,0,1,,
79,Håv4rd#1697,1,0,0,1,,
79,clover_q,1,0,0,1,,
79,mangomateo,1,0,0,1,,
80,yasec#0350,0.5,10,0,10.5,,
80,vialde#9627,0.5,0,0,0.5,,
80,Rasputin#9438,0.5,4,0,4.5,,
80,matthatt,0.5,0,0,0.5,,
80,MagicAri✨#1234,0.5,0,0,0.5,,
80,kloptops#0674,0.5,0,0,0.5,,
80,Kantalope#5393,0.5,0,0,0.5,,
80,JackDBS#7183,0.5,0,0,0.5,,
80,jabes#8562,0.5,0,0,0.5,,
80,GuiSeagal - Oásis Digital#9150,0.5,0,0,0.5,,
80,ferry#4337,0.5,0,0,0.5,,
80,corey#5644,0.5,0,0,0.5,,
80,Ban675#0675,0.5,0,0,0.5,,
80,AnalogNate#3632,0.5,0,0,0.5,,
80,Admiral Gonzo III,0.5,4,0,4.5,,
80,dubbs64,0.5,0,0,0.5,,
81,Wonderfool#9994,0,11,0,11,,
81,Winebaudn#0272,0,12,0,12,,
81,Webnet#8493,0,30,0,30,,
81,vyse1995,0,21,0,21,,
81,Trevor Philips#1215,0,15,0,15,,
81,TotallyTerry#0271,0,28,0,28,,
81,Thor!#9438,0,56,0,56,,
81,theretrogadgeteer,0,2,0,2,,
81,TheArctic,0,39,0,39,,
81,teenietinytina,0,7,0,7,,
81,teamretrogue,0,4,0,4,,
81,tapevulture#5507,0,5,0,5,,
81,stunseed____,0,4,0,4,,
81,St3fan#3754,0,3,0,3,,
81,Shem (RetroBreeze)#8686,0,33,0,33,,
81,SgtDaddy#5876,0,4,0,4,,
81,SetsunaGuerrero#4910,0,36,0,36,,
81,Satan#7401,0,1,0,1,,
81,S1eepy#3809,0,5,0,5,,
81,roofpooper#4054,0,5,0,5,,
81,rocketman824,0,4,0,4,,
81,RetroMatt11#6551,0,6,0,6,,
81,RetroGameCorps#2918,0,54,0,54,,
81,PMallette#4532,0,4,0,4,,
81,planadroit#5260,0,10,0,10,,
81,pkegg#7827,0,19,0,19,,
81,pelicularities#9068,0,9,0,9,,
81,olecrawdaddyy,0,2,0,2,,
81,MrFaust#9253,0,54,5,49,,
81,Morc#6688,0,6,0,6,,
81,Mikhailov1#3937,0,4,0,4,,
81,megadrive#0695,0,13,0,13,,
81,me038372#0193,0,29,0,29,,
81,Lulpha#4809,0,13,0,13,,
81,KingArcturus_#0847,0,33,0,33,,
81,kindofabigdyl#8888,0,4,0,4,,
81,Juicy#6224,0,4,0,4,,
81,jimgray#8282,0,9,0,9,,
81,JeffTheSmeff#2171,0,36,0,36,,
81,Javier A.#3351,0,38,0,38,,
81,holaimscott (scott.),0,27,0,27,,
81,GeoZomb1e#2474,0,4,0,4,,
81,garzilla3,0,4,0,4,,
81,Empleh_doG#8470,0,36,0,36,,
81,eems#0001,0,59,0,59,,
81,DrMalevolent#3457,0,2,0,2,,
81,DoggPogg™#6969,0,16,0,16,,
81,crippnipp#2358,0,38,0,38,,
81,CloudReigns#2818,0,5,0,5,,
81,chespace#5438,0,48,0,48,,
81,Cebion#2797,0,3,0,3,,
81,cadence.rose,0,4,0,4,,
81,Bobby_Vans#2818,0,7,0,7,,
81,adixal#6483,0,8,0,8,,
81,24Block#0535,0,38,0,38,,
81,aishrios,0,3,0,3,,
81,lpre30,0,3,0,3,,
81,milk.bread,0,3,0,3,,
81,fargate64,0,1,0,1,,
81,joeysretrohandhelds,0,1,0,1,,
