id,discord_name_original,display_name,discord_name,discord_id,premium
99,][ntamin22#9617,][ntamin22,hazmat0,286963370488365056,
100,Skald#5500,Skald,grm0,449678909328588800,
101,Oudeis#0467,Oudeis,.oudeis,189482922267377671,
102,RyanPlugs#0687,RyanPlugs,ryanplugs,445297857847623681,
103,Zeey#5614,Zeey,zshaan6493,277990220920520705,
104,Noel ÒᵧÓ#7847,Noel ÒᵧÓ,noel_rez,453847563737759744,
105,Rusty Dusty#7412,Rusty Dusty,rusty.dusty,793687712329891880,
106,BlackSad#6396,BlackSad,_blacksad,240840335809445888,
107,Nackmatholn#3854,Nackmatholn,nackmatholn,85931827876872192,champion
108,smith &#9990,smith &,smith_ampersand,145035244691521536,
109,Joss#4962,Mecha Month is Every Month,hertman789,117841968565977091,supporter
110,HERO#4217,HERO,jake.hero,194230002714279936,
111,Azile#8827,Azile,azile,230553322644439041,legend
112,random gamer#9938,random gamer,,921645767574319164,
113,ms.google#0,Ms. Google,ms.google,746561935125905670,
114,adventmatrix#7988,adventmatrix,adventmatrix,720991382617063514,
115,L33tMasta#5517,L33tMasta,l33tmasta,193237226270752768,
116,DMDF#0001,Notsae,notsaeegavas,160077276120088576,
117,JayTea#6651,JayTea,,960637379587215410,
118,willmasse#6020,willmasse,willmasse,252284183014014976,
119,MaGi_TekK#7945,MaGi_TekK,magi_tekk,806757940643889172,
120,FreemanReborn#3461,FreemanReborn,freemanrebord,877562297818697808,
121,BatDan#8171,BatDan,_batdan_,781848229536071710,champion
122,Addie#0862,addiekins,addie0862,797991998694359070,
123,Emvee#0012,𝕾𝖍𝖆𝖓𝖔𝖆,emvee888,979314387137495060,
124,vinsega#3803,vinsega,vinsega,396434074908098560,
125,dirn#5856,dirn,andydirn,493234864242425857,
126,Rensho#0001,Rensho,rensho,126505722648199168,
127,al_x#4016,al_x,al_x13013,1001593112235348049,
128,regggggggs#7720,regs,regggs,686644546074837059,
129,Arnaud Premier#3643,Arnaud Premier,,833187197740908565,
130,chocho#7616,chocho,chocho7616,905230155037941800,supporter
131,ChrisHepburn(Nerdbility)#2159,ChrisHepburn,ch_nerdbility,373299139070394368,
132,BillyZard#2079,BillyZard,billyzard,163477035967184897,champion
133,MrScottyTay#5813,MrScottyTay,mrscottytay,84377391803150336,
134,CPU_Master#2512,CPU_Master,cpu_master,358078148262363139,
135,Zerthyam#4119,Zerthyam,zerthyam,86374936137961472,
136,howchie#3402,howchie,howchie,624490948671307787,
137,pkdan#7487,pkdan,pkdan,693604731511111752,champion
138,Mike#2447,Mike,mikesheadroom,371275526695944194,champion
139,Sephigruen#9643,ChaosFlameEmber 🌈,sephigruen,206824993575665665,
140,Burrito#2343,BoReeToe,bo_ree_toe,186617465512394753,champion
141,Shampoo_Lord#4581,Xampu Lorde,shampoo_lord,234852723831472128,
142,xartle#1257,xartle,xartle,432040463445393424,
143,Voodoo Shark#9932,Voodoo Shark,voodooshark,506014248636383233,
144,poetry#1111,poetry,rainypoetry,1051159764534558851,
145,yoona#4856,yoona,yoonakame,124563373793869827,
146,macsmister#4289,macsmister,macsmister,270928348954230784,
147,Foughtimor#5273,Foughtimor,foughtimor,338828999537065994,
148,Leake#1663,Leake,leakegg,266365846950117376,
149,MirrorB#6969,MirrorB,mirrorb,98579700837814272,
150,bespu#4049,bespu,bespu,261407761412259841,
151,At0MiC#7777,At0MiC,at0mic,256837987722199040,supporter
152,thriveinhere#9899,thriveinhere,thriveinhere,548979754791862296,champion
153,Blazer7285#2294,Blazer7285,,583681688941363203,
154,ICee#3946,HardWaffle,hardwaffle,244708014202814464,
155,ryan86me#6373,Ryan86Me,ryan86me,225427298394832896,
156,TechRitchie#7485,TechRitchie,,586808263954268171,
157,Ayechihuahua#6312,ayechihuahua,ayechihuahua,469168562259492864,
158,cheaddos#4615,cheetos,cheaddos,175334425884753920,
159,mentalist#5681,The Mentalist,szymonsays,754072734652432414,
160,car_ferr#3848,Pixel Perfect,rdrc,911329612859047987,
161,STEAK [STEAKandGAMES]#1484,STEAK [STEAKandGAMES],steakandgames,479703497504325632,supporter
162,TerriblePerson#7247,TerriblePerson,terribleperson7,375577575029866497,
163,DAN#0589,AladDan,,284429426807144449,
164,xarasu#9817,Sage,xarasu,202942393304088577,
165,Doorhinge#4424,Doorhinge,crowball,133002830448558080,
166,Timmy Stardust#9580,Timmy Stardust,timmystardust,633403383738269706,
167,RedSideOfTheMoon#8575,RedSideOfTheMoon,redsideofthemoon,566254263786012672,
168,dashdot3#5279,dashdot3,dashdot3,757069038793785374,
169,Ghost1069#3525,Ghost1069,ghost1069,704743482467680396,
170,ReiddMaxwell#1694,ReiddMaxwell,reiddmaxwell,222847140123246592,
171,GforceUK#9358,GforceUK,gforceuk,546351199952306186,
172,ocho2188#1156,Ocho,ocho2188,299148032677511178,champion
173,M4R5E#8052,M4R5E,m4r5e,556874658679357442,
174,maochan86#4308,maochan86,maochan86,637002054077906945,
175,patty#8889,patty,patty85,361973681921982464,champion
176,SupaSoCola#8570,SupaSoCola,supasocola,962956500014333955,
177,aldresai#3029,aldresai,aldresai,950170523701248030,
178,pxlnic#6768,pxlnic,pxlnic,315631513867911169,champion
179,duhdudedoe#2761,duhdudedoe,duhdudedoe,652642737438457914,
180,djjuxtapose#3961,djjuxtapose,djjuxtapose,309645889159299072,
181,SkullTownJelly#4750,SkullTownJelly,,331956725340962817,
182,OmegaZero#0053,OmegaZero,omegazer0180,241721773530284037,
183,LosingButNotWrong#6536,LosingButNotWrong,losingbutnotwrong,346156848681844746,
184,Stevo406#7639,Steve H,,357936819603505152,
185,brady#1378,fraggle,partypoison109,496235109695881242,
186,,,,,
187,1MayoRice1#6500,1MayoRice1,,270484915903135745,
188,Akios#1304,Aki,akios,182260645775933440,
189,AliceVie#3332,,,138346187773181952,
190,anderbubble#8484,anderbubble,anderbubble,310790511587885056,
191,Ashvita#6335,Ash,ashvita,745612418708930611,
192,axelrider#1116,axelrider,axelrider,549828271253225483,
193,balearicwaves#9255,balearicwaves,balearicwaves,528714422613442560,
194,Benzo#5740,Benzo,benzo1985,271428169033056256,
195,BMXW#7527,BMXW,bmxw,688016148771635214,
196,boss566y#2353,boss566y,boss566y,504505663926566914,
197,,,,,
198,ChristianBeaird#2782,,,,
199,chthonox#0956,chthonox,,532981163057348628,
200,Clem Dustpaw#3798,Clem Dustpaw,,827286450654806036,
201,Crid#4192,Crid,_crid_,418543513832259594,
202,dafunk5446#7843,dafunk5446,,598268845379026965,
203,daloia_music#4178,daloia_music,daloia_music,171966100710490112,
204,Dan The LoOOOong Giraffe#0589,,,284429426807144449,
205,Dar_Kalim#0421,Dar_Kalim,dar_kalim,399709604621189120,
206,dbunke#3115,dbunke,,631250693881331714,supporter
207,DeeeConrad#2344,DeeeConrad,,552966401888092161,
208,denbowski#5628,denbowski,denbowski,219854562616410113,
209,dmac#0001,dmac,dmac,81277893765763072,
210,Draga#1564,Draga,dragamaroon,281457647247425536,
211,drainboy#0432,drain,drainboy,104906199094267904,
212,DrunkenLlama#6666,DrunkenLlama,drunkenllama74,188447091893338112,
213,,,,,
214,feralghoul#4600,Feralghoul,feralghoul,198913503652741120,champion
215,Feron#4252,Feron,feronthal,235410773533392896,
216,ferry#4337,ferry,ferry.rascal,305335302908542978,
217,gfcpinto#2672,gfcpinto,gfcpinto,306281252020027402,
218,H3ll!#4439,H3ll!,h3ll4439,237551346159452160,
219,Håv4rd#1697,Håv4rd,,386900632558239744,
220,Jake#2672,Jake,jqui,292389590441132045,
221,JayTea92#2155,JayTea,,917972836830806017,
222,JCRJr#5882,JCRJr,jcrjr,932466264880840765,
223,JN2002#1299,JUSTIN,jn2002.,814105515499847731,legend
224,kalamer#5399,kalamer,kalamer.,173961973078163456,
225,Kamogli#7245,Kamogli,kamogli,177852418816475136,
